"OBJECT_ID","WIND_CODE","S_INFO_WINDCODE","CITICS_IND_CODE","ENTRY_DT","REMOVE_DT","CUR_SIGN","OPDATE","OPMODE"
"{00061CCA-0DB3-4909-BB08-9D1E5636D4B0}","600325.SH","600325.SH","b10n010100","20040310",NULL,"1","2014-02-10 15:45:58","0"
"{0008F963-CA1A-46D5-BCC1-1BAA851AEDEA}","600609.SH","600609.SH","b10d020200","20030101",NULL,"1","2014-02-10 15:45:59","0"
"{000CB29E-1705-44DD-B740-9F10333F3195}","600449.SH","600449.SH","b108010100","20030912","20191201","0","2020-02-10 17:37:54","0"
"{000D7FA1-1FDB-4EE3-9D95-D9B9B35E81C8}","603166.SH","603166.SH","b10d030100","20141201",NULL,"1","2014-12-01 16:19:33","0"
"{000FFD41-278D-4A52-99D8-FEFEA15E92B1}","002550.SZ","002550.SZ","b10i030100","20110218",NULL,"1","2014-02-10 15:45:59","0"
"{00380C6F-B397-4BF1-9D95-6DFC30AF7D83}","300094.SZ","300094.SZ","b10k040100","20100722",NULL,"1","2014-02-10 15:43:16","0"
"{004D9D4C-A218-47FD-9874-280D7CFAA543}","601799.SH","601799.SH","b10d030100","20110209",NULL,"1","2014-02-10 15:45:59","0"
"{006B0D50-5525-48D6-A393-533A46978FF7}","002449.SZ","002449.SZ","b10p020100","20100730","20150130","0","2015-02-02 09:57:16","0"
"{007D2EA3-03D0-4197-861B-3D19A3DD49F1}","600864.SH","600864.SH","b104020400","20030101","20190721","0","2019-07-19 08:02:12","0"
"{0089ACB5-A61B-45AF-BEE5-14834977E113}","600561.SH","600561.SH","b10o020100","20030101","20191201","0","2020-02-10 17:37:54","0"
"{008A84B8-FB16-41AB-8063-5C6FE2BFC609}","600580.SH","600580.SH","b10b010100","20030101","20191201","0","2020-02-10 17:37:54","0"
"{009C6DC1-8D7A-4B40-81E6-BD3587CA1C96}","300287.SZ","300287.SZ","b10r020200","20120202",NULL,"1","2012-02-02 10:58:28","0"
"{00AE14BA-B962-4C1C-80FC-69832A6640A7}","002638.SZ","002638.SZ","b10g040100","20111128","20170228","0","2017-03-07 13:36:32","0"
"{00AEFC66-5081-4000-AD1D-52E47F2B9179}","600817.SH","600817.SH","b10n010200","20110505","20200529","0","2020-05-29 17:20:40","0"
"{00C0C81F-99BE-4149-A3E8-EBC0533D6F4E}","600483.SH","600483.SH","b10h040200","20040614","20150430","0","2015-05-04 09:58:52","0"
"{00D09783-00FB-425B-B082-0E8C051C7BDD}","000564.SZ","000564.SZ","b10e010100","20030101",NULL,"1","2014-02-10 15:43:17","0"
"{00D7C3A7-CE86-413D-B2C6-8E835456F0F7}","600490.SH","600490.SH","b10i010100","20030710","20140430","0","2014-05-05 14:29:21","0"
"{00D81BC8-B439-4BA0-9897-5EB1A3C84A97}","600377.SH","600377.SH","b10o010100","20030101",NULL,"1","2014-02-10 15:45:58","0"
"{00E5D972-D7F2-45A7-8B75-DACDAF9AADC6}","002431.SZ","002431.SZ","b10k030100","20100629","20120427","0","2012-05-04 17:18:50","0"
"{01173FB0-DA7A-4EA6-9154-1DD8E357BEC9}","300083.SZ","300083.SZ","b10p020100","20100603","20191201","0","2020-02-10 17:37:54","0"
"{0138821E-030D-11E7-AC6F-C03FD5E531AD}","000557.SZ","000557.SZ","b10o020200","20170301",NULL,"1","2020-02-23 15:16:18","0"
"{013F58F8-55AD-4E72-B86B-8476D7278863}","300185.SZ","300185.SZ","b10b030100","20110308",NULL,"1","2014-02-10 15:45:59","0"
"{01458E6F-3703-4ECC-9DB8-35955AC7D0A2}","600850.SH","600850.SH","b10c010200","20030101","20110504","0","2014-02-10 15:45:59","0"
"{014F4295-209D-44B0-A9A0-BD2FEE064215}","600870.SH","600870.SH","b10g020100","20030101","20191201","0","2020-01-31 16:41:28","0"
