,AGG,BND,DBC,GLD,GSG,JNK,SPY,TIP,VBR,VNQ,VTI,VTV,VWO
AGG,1.0,0.990202,-0.010679,0.281489,-0.033282,0.512749,0.159232,0.852585,0.181194,0.389398,0.166548,0.161966,0.181995
BND,0.990202,1.0,-0.019795,0.279813,-0.042418,0.510424,0.15566,0.848366,0.171964,0.387988,0.162155,0.160637,0.175334
DBC,-0.010679,-0.019795,1.0,0.372525,0.970408,0.305415,0.348266,0.135423,0.356723,0.223798,0.349165,0.365788,0.401766
GLD,0.281489,0.279813,0.372525,1.0,0.31168,0.235034,0.145761,0.31631,0.125912,0.201727,0.148569,0.146917,0.347502
GSG,-0.033282,-0.042418,0.970408,0.31168,1.0,0.293937,0.346813,0.11958,0.354451,0.213058,0.34734,0.370279,0.370231
JNK,0.512749,0.510424,0.305415,0.235034,0.293937,1.0,0.766778,0.458559,0.750558,0.720643,0.778211,0.731125,0.609555
SPY,0.159232,0.15566,0.348266,0.145761,0.346813,0.766778,1.0,0.170484,0.854046,0.684668,0.99663,0.887455,0.683706
TIP,0.852585,0.848366,0.135423,0.31631,0.11958,0.458559,0.170484,1.0,0.186043,0.349008,0.175176,0.186328,0.162221
VBR,0.181194,0.171964,0.356723,0.125912,0.354451,0.750558,0.854046,0.186043,1.0,0.77408,0.880234,0.912356,0.635579
VNQ,0.389398,0.387988,0.223798,0.201727,0.213058,0.720643,0.684668,0.349008,0.77408,1.0,0.701188,0.782293,0.536962
VTI,0.166548,0.162155,0.349165,0.148569,0.34734,0.778211,0.99663,0.175176,0.880234,0.701188,1.0,0.894735,0.692965
VTV,0.161966,0.160637,0.365788,0.146917,0.370279,0.731125,0.887455,0.186328,0.912356,0.782293,0.894735,1.0,0.634239
VWO,0.181995,0.175334,0.401766,0.347502,0.370231,0.609555,0.683706,0.162221,0.635579,0.536962,0.692965,0.634239,1.0
