DATE,SEC_ID,SEC_NM,OPEN,HIGH,LOW,CLOSE,NUM_SHARES,AMOUNT,NUM_TRANSACTIONS
2016-12-30,300502,新易盛,38.99,39.57,38.81,38.9,26727.0,104463024.0,3597
2017-01-03,300502,新易盛,39.14,39.24,37.84,38.23,43341.0,165703568.0,5948
2017-01-04,300502,新易盛,38.02,39.1,37.98,38.87,40728.0,157464928.0,5244
2017-01-05,300502,新易盛,38.65,38.97,37.15,37.21,53208.0,201642192.0,7080
2017-01-06,300502,新易盛,36.71,37.03,34.81,35.04,57711.0,206513952.0,7578
2017-01-09,300502,新易盛,34.64,35.14,33.48,33.94,61296.0,209447696.0,6767
2017-01-10,300502,新易盛,33.94,34.47,33.64,33.98,34149.0,116697096.0,3953
2017-01-11,300502,新易盛,34.0,34.03,32.6,32.61,38577.0,128132280.0,5080
2017-01-12,300502,新易盛,32.68,33.81,32.68,32.99,39093.0,130062152.0,4747
2017-01-13,300502,新易盛,33.06,33.3,30.84,30.95,53259.0,168714880.0,6357
2017-01-16,300502,新易盛,30.94,31.24,28.19,29.5,55842.0,166330272.0,5317
2017-01-17,300502,新易盛,29.5,31.3,28.64,30.54,62964.0,189813824.0,6171
2017-01-18,300502,新易盛,29.85,30.24,28.88,28.9,45084.0,132901112.0,5154
2017-01-19,300502,新易盛,28.31,30.91,28.31,29.57,55959.0,166292288.0,6463
2017-01-20,300502,新易盛,29.2,30.81,29.18,30.31,53742.0,162886144.0,5656
2017-01-23,300502,新易盛,30.34,30.87,30.03,30.3,44898.0,136723120.0,4529
2017-01-24,300502,新易盛,30.17,30.56,29.98,30.27,30858.0,93465640.0,3000
2017-01-25,300502,新易盛,30.11,32.31,30.11,31.83,68133.0,213978752.0,7803
2017-01-26,300502,新易盛,31.64,31.71,31.2,31.55,36615.0,115118776.0,4298
2017-02-03,300502,新易盛,31.65,32.31,31.28,31.28,32562.0,103019480.0,4146
2017-02-06,300502,新易盛,31.28,31.81,31.27,31.72,28518.0,90070440.0,3352
2017-02-07,300502,新易盛,31.76,31.76,30.76,30.98,32703.0,101932472.0,4229
2017-02-08,300502,新易盛,31.03,31.47,30.41,31.29,31947.0,98734408.0,3739
2017-02-09,300502,新易盛,31.11,32.54,31.11,31.93,69027.0,220377216.0,7151
2017-02-10,300502,新易盛,31.65,31.81,30.7,30.71,53229.0,165808544.0,6060
2017-02-13,300502,新易盛,30.72,31.47,30.41,31.21,35322.0,109963832.0,4000
2017-02-14,300502,新易盛,31.31,31.48,30.95,31.04,29541.0,91919424.0,3178
2017-02-15,300502,新易盛,30.98,31.19,30.43,30.52,38982.0,120305352.0,4527
2017-02-16,300502,新易盛,30.64,30.64,30.04,30.29,31794.0,96363912.0,3706
2017-02-17,300502,新易盛,30.29,30.43,29.04,29.08,39900.0,117993072.0,5056
2017-02-20,300502,新易盛,29.64,29.64,28.39,29.11,30459.0,88054272.0,3766
2017-02-21,300502,新易盛,29.06,30.62,28.98,30.32,56748.0,170961568.0,6926
2017-02-22,300502,新易盛,30.31,30.6,29.85,30.23,33885.0,102346848.0,3986
2017-02-23,300502,新易盛,30.04,30.51,29.99,30.41,34293.0,103967824.0,4093
2017-02-24,300502,新易盛,30.41,31.3,30.14,30.98,49281.0,151426960.0,5943
2017-02-27,300502,新易盛,30.94,30.94,30.07,30.1,40299.0,122406840.0,5146
2017-02-28,300502,新易盛,29.64,29.96,29.5,29.8,42030.0,124765184.0,5046
2017-03-01,300502,新易盛,29.87,30.6,29.71,30.09,37017.0,111924440.0,4475
2017-03-02,300502,新易盛,29.94,30.14,29.58,29.65,31653.0,94171856.0,3473
2017-03-03,300502,新易盛,29.31,32.62,29.31,31.64,95319.0,295885312.0,11968
2017-03-06,300502,新易盛,31.93,32.86,31.43,32.64,88035.0,283996960.0,10102
2017-03-07,300502,新易盛,32.73,32.86,31.99,32.31,60957.0,197505776.0,7221
2017-03-08,300502,新易盛,32.32,32.44,31.61,31.74,43770.0,140104832.0,5361
2017-03-09,300502,新易盛,31.49,32.17,31.31,32.02,45165.0,143779808.0,5074
2017-03-10,300502,新易盛,31.88,34.64,31.78,33.66,100746.0,335992320.0,11131
2017-03-13,300502,新易盛,33.59,34.01,32.75,33.94,67200.0,225278896.0,7899
2017-03-14,300502,新易盛,33.85,35.14,33.64,33.74,64452.0,221193728.0,8265
2017-03-15,300502,新易盛,33.82,34.13,33.44,34.1,44262.0,149725504.0,5701
2017-03-16,300502,新易盛,34.11,34.76,33.91,34.31,49407.0,169352160.0,6190
2017-03-17,300502,新易盛,34.28,34.29,33.41,33.52,61950.0,210312080.0,6985
2017-03-20,300502,新易盛,33.37,33.37,32.55,33.25,43389.0,142988720.0,5179
2017-03-21,300502,新易盛,33.05,33.74,32.94,33.33,32700.0,108948520.0,4164
2017-03-22,300502,新易盛,33.31,33.31,32.34,32.94,40329.0,132205816.0,5153
2017-03-23,300502,新易盛,32.98,34.27,32.96,33.64,71727.0,241143424.0,8584
2017-03-24,300502,新易盛,33.64,33.81,33.0,33.37,39312.0,131113608.0,4576
2017-03-27,300502,新易盛,33.14,33.36,32.74,32.78,27912.0,91927488.0,3562
2017-03-28,300502,新易盛,32.96,33.11,31.91,31.94,33603.0,109282104.0,4199
2017-03-29,300502,新易盛,31.94,32.23,30.31,30.43,45552.0,141157104.0,5840
2017-03-30,300502,新易盛,29.98,30.28,29.38,29.38,36198.0,107434784.0,4341
2017-03-31,300502,新易盛,29.38,29.87,29.14,29.39,25074.0,73860032.0,2946
2017-04-05,300502,新易盛,29.48,29.93,29.07,29.83,23433.0,69423184.0,2678
2017-04-06,300502,新易盛,29.88,30.28,29.65,29.89,19917.0,59672268.0,2433
2017-04-07,300502,新易盛,29.7,29.97,29.35,29.73,20613.0,61055528.0,2543
2017-04-10,300502,新易盛,29.31,29.31,27.44,27.47,50154.0,141529888.0,5358
2017-04-11,300502,新易盛,27.31,28.2,27.21,28.05,28407.0,78526752.0,3093
2017-04-12,300502,新易盛,28.08,28.09,27.48,27.5,17157.0,47477020.0,2028
2017-04-13,300502,新易盛,27.47,28.24,27.34,27.72,16353.0,45496492.0,1856
2017-04-14,300502,新易盛,27.75,28.07,27.24,27.81,19770.0,54876664.0,2280
2017-04-17,300502,新易盛,27.6,28.19,26.98,27.25,29223.0,80835728.0,3242
2017-04-18,300502,新易盛,26.64,27.24,26.15,26.3,22956.0,61262160.0,2825
2017-04-19,300502,新易盛,26.13,26.74,25.84,26.72,21693.0,57217424.0,2598
2017-04-20,300502,新易盛,26.73,26.85,26.08,26.24,18252.0,48152244.0,2038
2017-04-21,300502,新易盛,26.14,26.48,26.14,26.38,11775.0,30997318.0,1438
2017-04-24,300502,新易盛,26.47,26.64,25.98,26.42,15255.0,40184544.0,1765
2017-04-25,300502,新易盛,26.64,27.04,26.42,26.77,19836.0,53222968.0,2047
2017-04-26,300502,新易盛,26.83,27.37,26.64,27.11,21642.0,58618844.0,2336
2017-04-27,300502,新易盛,26.91,27.74,26.18,27.66,37677.0,102046712.0,4150
2017-04-28,300502,新易盛,27.48,27.74,27.33,27.5,17949.0,49446112.0,1882
2017-05-02,300502,新易盛,27.52,27.57,26.89,26.97,15564.0,42414304.0,1743
2017-05-03,300502,新易盛,26.97,27.4,26.94,27.15,13839.0,37564088.0,1707
2017-05-04,300502,新易盛,27.16,27.31,26.68,26.93,14757.0,39892556.0,1719
2017-05-05,300502,新易盛,26.75,29.66,26.75,29.66,68631.0,197072288.0,7005
2017-05-08,300502,新易盛,29.32,29.32,28.15,28.19,60705.0,174020592.0,5992
2017-05-09,300502,新易盛,27.98,28.91,27.41,28.68,41379.0,116446352.0,4741
2017-05-10,300502,新易盛,28.55,29.79,28.41,28.48,58278.0,169966096.0,6610
2017-05-11,300502,新易盛,27.98,28.91,27.42,28.86,43971.0,123105608.0,4889
2017-05-12,300502,新易盛,28.64,29.6,28.51,29.1,47268.0,137850736.0,5172
2017-05-15,300502,新易盛,28.98,30.21,28.64,29.75,51639.0,151951264.0,5466
2017-05-16,300502,新易盛,29.31,31.29,29.14,31.01,67644.0,204690240.0,7393
